id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag
id3004672,1,6/30/2016 23:59,1,-73.98812866,40.73202896,-73.99017334,40.75667953,N
id3505355,1,6/30/2016 23:59,1,-73.96420288,40.67999268,-73.95980835,40.65540314,N
id1217141,1,6/30/2016 23:59,1,-73.99743652,40.73758316,-73.98616028,40.72952271,N
id2150126,2,6/30/2016 23:59,1,-73.95606995,40.77190018,-73.98642731,40.73046875,N
id1598245,1,6/30/2016 23:59,1,-73.97021484,40.76147461,-73.9615097,40.75588989,N
id0668992,1,6/30/2016 23:59,1,-73.99130249,40.74979782,-73.98051453,40.78654861,N
id1765014,1,6/30/2016 23:59,1,-73.97830963,40.74155045,-73.95207214,40.71700287,N
id0898117,1,6/30/2016 23:59,2,-74.01271057,40.70152664,-73.98648071,40.71950912,N
id3905224,2,6/30/2016 23:58,2,-73.99233246,40.73051071,-73.87561798,40.87521362,N
id1543102,2,6/30/2016 23:58,1,-73.99317932,40.74876022,-73.97930908,40.76131058,N
id3024712,1,6/30/2016 23:58,4,-73.96852875,40.67843246,-73.96659088,40.63571167,N
id3665810,2,6/30/2016 23:58,1,-73.98277283,40.75690842,-73.9746933,40.75333023,N
id1836461,1,6/30/2016 23:58,1,-73.92110443,40.76729202,-73.93685913,40.77404404,N
id3457080,2,6/30/2016 23:57,1,-73.98680115,40.73491669,-73.97589874,40.75689316,N
id3376065,1,6/30/2016 23:57,1,-73.99634552,40.74816132,-73.95082855,40.78282547,N
id3008739,1,6/30/2016 23:57,1,-73.96802521,40.76228333,-73.93479156,40.79743576,N
id0902216,2,6/30/2016 23:56,1,-74.00771332,40.74068069,-73.96881104,40.75386047,N
id3564824,2,6/30/2016 23:55,5,-73.98429871,40.72498322,-73.98181915,40.74059677,N
id0820280,2,6/30/2016 23:55,1,-73.95259857,40.76832199,-73.94855499,40.7737236,N
id0775088,2,6/30/2016 23:55,1,-73.96669006,40.79409027,-73.92077637,40.83005905,N
id1468488,2,6/30/2016 23:55,1,-73.99468994,40.72581863,-73.98715973,40.72925949,N
id2657479,1,6/30/2016 23:55,1,-73.96595001,40.75806808,-73.9775238,40.74252701,N
id1262719,2,6/30/2016 23:55,5,-73.98638153,40.76200104,-73.96614838,40.76208878,N
id1345524,2,6/30/2016 23:54,1,-73.95598602,40.71406937,-73.98068237,40.67573547,N
id2911638,1,6/30/2016 23:54,1,-73.98410034,40.7427597,-73.95600128,40.78480911,N
id2849512,2,6/30/2016 23:54,3,-73.87299347,40.77397919,-73.96244049,40.77471161,N
id0236829,1,6/30/2016 23:53,1,-73.96762085,40.76285553,-73.95230103,40.78218079,N
id2905906,1,6/30/2016 23:52,1,-73.98535919,40.75954819,-73.9732666,40.76329422,Y
id3737939,1,6/30/2016 23:52,2,-73.98752594,40.76551056,-73.93871307,40.84982681,N
id0766179,2,6/30/2016 23:51,2,-73.98534393,40.74735641,-73.9783783,40.67557144,N
id3422639,1,6/30/2016 23:51,1,-73.97908783,40.75539017,-73.99099731,40.74977493,N
id3864673,2,6/30/2016 23:50,2,-73.97766876,40.72550964,-73.90653229,40.73731995,N
id2052707,2,6/30/2016 23:50,1,-74.00743866,40.73310089,-73.99604797,40.7224617,N
id0591443,2,6/30/2016 23:50,1,-73.98326874,40.76779938,-73.95336914,40.77119827,N
id1686925,1,6/30/2016 23:50,1,-74.00836945,40.70420837,-73.98807526,40.76461411,N
id0429284,1,6/30/2016 23:50,1,-73.98156738,40.75858307,-74.00532532,40.74611664,N
id1860783,1,6/30/2016 23:50,4,-73.98500824,40.73241806,-74.01294708,40.70241547,N
id0928636,1,6/30/2016 23:49,1,-73.96208954,40.76367569,-73.96516418,40.76268387,N
id3904914,1,6/30/2016 23:49,1,-73.97665405,40.74808121,-73.98783875,40.74897385,N
id2844603,2,6/30/2016 23:49,1,-73.99091339,40.7342453,-73.96554565,40.805336,N
id3400686,1,6/30/2016 23:49,2,-73.97229004,40.75649643,-73.99131012,40.74996948,N
id1408427,2,6/30/2016 23:48,1,-74.00518036,40.71913528,-73.95381927,40.82162476,N
id1712395,1,6/30/2016 23:48,2,-73.98954773,40.75737762,-73.9726181,40.79343414,N
id2475053,2,6/30/2016 23:48,1,-73.97029114,40.76240158,-73.99697113,40.75045013,N
id3485082,1,6/30/2016 23:48,2,-73.97812653,40.74549866,-73.98223114,40.75975418,N
id0827714,1,6/30/2016 23:47,3,-73.98471069,40.74809647,-73.9966507,40.7493515,N
id2765337,2,6/30/2016 23:47,1,-73.98735809,40.75635147,-73.97830963,40.75241852,N
id3139513,2,6/30/2016 23:46,2,-73.99411011,40.74637985,-73.99201965,40.71825027,N
id1823365,1,6/30/2016 23:46,1,-73.94464874,40.77959824,-73.94887543,40.77355194,N
id2690061,2,6/30/2016 23:46,1,-73.98905945,40.74420166,-73.98951721,40.76794052,N
id2214549,1,6/30/2016 23:45,1,-74.00137329,40.74134445,-73.97711182,40.74978638,N
id0552977,1,6/30/2016 23:45,3,-73.98084259,40.7420311,-73.97236633,40.75628662,N
id1556775,2,6/30/2016 23:45,1,-73.9890213,40.72159958,-74.00415039,40.70605087,N
id0364901,1,6/30/2016 23:45,2,-73.97560883,40.74536896,-73.94682312,40.77639771,N
id3345419,2,6/30/2016 23:44,1,-73.98740387,40.72172928,-73.99945831,40.69339752,N
id0814840,1,6/30/2016 23:44,2,-73.78764343,40.64191818,-73.97154999,40.67639542,N
id3159174,1,6/30/2016 23:44,1,-73.86576843,40.77096939,-73.99108124,40.67784882,N
id3650870,2,6/30/2016 23:43,6,-73.78777313,40.6416893,-73.70095062,40.71699142,N
id2576205,1,6/30/2016 23:42,1,-73.99875641,40.73205948,-73.98360443,40.72594452,N
id3408993,2,6/30/2016 23:42,2,-73.97432709,40.75054169,-73.97592163,40.73250961,N
id1969762,2,6/30/2016 23:41,1,-73.9865036,40.71818161,-74.00868225,40.7406311,N
id3043563,2,6/30/2016 23:41,5,-73.98974609,40.75219345,-73.99323273,40.72266769,N
id0697361,1,6/30/2016 23:41,1,-73.95155334,40.72327042,-73.95610809,40.71718979,N
id0527242,1,6/30/2016 23:41,1,-73.99002075,40.72946548,-73.95775604,40.71128845,N
id1890566,2,6/30/2016 23:41,1,-73.98079681,40.75355911,-73.94286346,40.78744125,N
